Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority,financial_risk,ml_risk,statistical_risk,quality_risk,risk_factors,risk_factors_text,risk_score,final_risk_level,investigation_priority,recommended_action,alert_status,alert_message,risk_rank
379,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,151231957.11,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,151231957.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,151231957.11,True,18.83432536253704,77.85977859778598,0.0,0,0.0,38.590507977216895,False,0.0,0,17.37,LOW,Data-quality validation requires review,False,LOW,25,38.590507977216895,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.97,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.97/100 | MP: RAMBHUAL NISHAD | Constituency: SULTANPUR | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,97.0
357,Madhya Pradesh,RAHUL SINGH LODHI,DAMOH,163058785.37,Madhya Pradesh,RAHUL SINGH LODHI,DAMOH,163058785.37,False,False,False,False,False,True,85.0,True,MP_RECORD,True,163058785.37,True,18.909621346328212,86.71586715867159,0.0,0,0.0,38.560143509702506,False,0.0,0,17.35,LOW,Data-quality validation requires review,False,LOW,25,38.560143509702506,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.96,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.96/100 | MP: RAHUL SINGH LODHI | Constituency: DAMOH | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,98.0
144,Tamil Nadu,DR RANI SRI KUMAR,TENKASI(SC),153060922.82,Tamil Nadu,DR RANI SRI KUMAR,TENKASI(SC),153060922.82,False,False,False,False,False,True,85.0,True,MP_RECORD,True,153060922.82,True,18.84634659500012,79.52029520295203,0.0,0,0.0,38.52911729586228,False,0.0,0,17.34,LOW,Data-quality validation requires review,False,LOW,25,38.52911729586228,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.95,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.95/100 | MP: DR RANI SRI KUMAR | Constituency: TENKASI(SC) | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,99.0
170,Madhya Pradesh,Faggan Singh Kulaste,MANDLA(ST),151861648.41,Madhya Pradesh,Faggan Singh Kulaste,MANDLA(ST),151861648.41,False,False,False,False,False,True,85.0,True,MP_RECORD,True,151861648.41,True,18.838480463075864,78.78228782287823,0.0,0,0.0,38.43195358644056,False,0.0,0,17.29,LOW,Data-quality validation requires review,False,LOW,25,38.43195358644056,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.91,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.91/100 | MP: Faggan Singh Kulaste | Constituency: MANDLA(ST) | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,100.0
316,Rajasthan,Om Birla,KOTA,163906956.6,Rajasthan,Om Birla,KOTA,163906956.6,False,False,False,False,False,True,85.0,True,MP_RECORD,True,163906956.6,True,18.914809493087628,87.26937269372694,0.0,0,0.0,38.37652892215626,False,0.0,0,17.27,LOW,Data-quality validation requires review,False,LOW,25,38.37652892215626,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.89,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.89/100 | MP: Om Birla | Constituency: KOTA | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,101.0
167,Kerala,E.T. MOHAMMED BASHEER,MALAPPURAM,163895872.11,Kerala,E.T. MOHAMMED BASHEER,MALAPPURAM,163895872.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,163895872.11,True,18.9147418640804,87.08487084870849,0.0,0,0.0,38.353346413488254,False,0.0,0,17.26,LOW,Data-quality validation requires review,False,LOW,25,38.353346413488254,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.88,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.88/100 | MP: E.T. MOHAMMED BASHEER | Constituency: MALAPPURAM | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,102.0
442,Kerala,Shri Benny Behanan,CHALAKUDY,164674770.11,Kerala,Shri Benny Behanan,CHALAKUDY,164674770.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,164674770.11,True,18.919483002540165,87.82287822878229,0.0,0,0.0,38.21901382340007,False,0.0,0,17.2,LOW,Data-quality validation requires review,False,LOW,25,38.21901382340007,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.83,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.83/100 | MP: Shri Benny Behanan | Constituency: CHALAKUDY | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,103.0
85,Chhattisgarh,BHOJRAJ NAG,KANKER(ST),164672734.11,Chhattisgarh,BHOJRAJ NAG,KANKER(ST),164672734.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,164672734.11,True,18.91947063869977,87.63837638376384,0.0,0,0.0,38.21901382340007,False,0.0,0,17.2,LOW,Data-quality validation requires review,False,LOW,25,38.21901382340007,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.83,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.83/100 | MP: BHOJRAJ NAG | Constituency: KANKER(ST) | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,104.0
277,Tamil Nadu,MANI. A.,DHARAMAPURI,164515071.11,Tamil Nadu,MANI. A.,DHARAMAPURI,164515071.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,164515071.11,True,18.91851274774149,87.4538745387454,0.0,0,0.0,38.18928444089443,False,0.0,0,17.19,LOW,Data-quality validation requires review,False,LOW,25,38.18928444089443,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.82,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.82/100 | MP: MANI. A. | Constituency: DHARAMAPURI | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,105.0
521,Tamil Nadu,V S Matheswaran,NAMAKKAL,162539930.11,Tamil Nadu,V S Matheswaran,NAMAKKAL,162539930.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,162539930.11,True,18.90643425945511,86.34686346863468,0.0,0,0.0,38.07162516716164,False,0.0,0,17.13,LOW,Data-quality validation requires review,False,LOW,25,38.07162516716164,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.78,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.78/100 | MP: V S Matheswaran | Constituency: NAMAKKAL | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,106.0
79,Madhya Pradesh,BHARAT SINGH KUSHWAH,GWALIOR,151455276.04,Madhya Pradesh,BHARAT SINGH KUSHWAH,GWALIOR,151455276.04,False,False,False,False,False,True,85.0,True,MP_RECORD,True,151455276.04,True,18.835800938277185,78.04428044280442,0.0,0,0.0,37.97328986407257,False,0.0,0,17.09,LOW,Data-quality validation requires review,False,LOW,25,37.97328986407257,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.74,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.74/100 | MP: BHARAT SINGH KUSHWAH | Constituency: GWALIOR | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,107.0
457,Uttar Pradesh,Shri Narendra Modi,VARANASI,162070276.11,Uttar Pradesh,Shri Narendra Modi,VARANASI,162070276.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,162070276.11,True,18.903540608449585,85.79335793357934,0.0,0,0.0,37.96496145652958,False,0.0,0,17.08,LOW,Data-quality validation requires review,False,LOW,25,37.96496145652958,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.73,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.73/100 | MP: Shri Narendra Modi | Constituency: VARANASI | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,108.0
376,Uttar Pradesh,Ram Shiromani,SHRAWASTI,151746878.11,Uttar Pradesh,Ram Shiromani,SHRAWASTI,151746878.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,151746878.11,True,18.837724421695693,78.59778597785979,0.0,0,0.0,37.92633130439819,False,0.0,0,17.07,LOW,Data-quality validation requires review,False,LOW,25,37.92633130439819,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.72,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.72/100 | MP: Ram Shiromani | Constituency: SHRAWASTI | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,109.0
341,Uttar Pradesh,PRAVEEN PATEL,PHULPUR,151559884.09,Uttar Pradesh,PRAVEEN PATEL,PHULPUR,151559884.09,False,False,False,False,False,True,85.0,True,MP_RECORD,True,151559884.09,True,18.83649138593281,78.22878228782287,0.0,0,0.0,37.86397966232354,False,0.0,0,17.04,LOW,Data-quality validation requires review,False,LOW,25,37.86397966232354,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.7,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.7/100 | MP: PRAVEEN PATEL | Constituency: PHULPUR | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,110.0
292,Ladakh,Mohamed Haneefa,LADAKH,161114542,Ladakh,Mohamed Haneefa,LADAKH,161114542.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,161114542.0,True,18.897626117195117,85.60885608856088,0.0,0,0.0,37.86419637924631,False,0.0,0,17.04,LOW,Data-quality validation requires review,False,LOW,25,37.86419637924631,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.7,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.7/100 | MP: Mohamed Haneefa | Constituency: LADAKH | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,111.0
