Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority,robust_z_score,standard_z_score,global_percentile,iqr_upper_fence,iqr_outlier,statistical_alert_level,deviation_category,statistical_explanation
536,Jharkhand,Vishnu Dayal Ram,PALAMU(SC),158176083.11,Jharkhand,Vishnu Dayal Ram,PALAMU(SC),158176083.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,158176083.11,True,18.8792,82.65682656826569,0.0,0,0.0,39.77318278351029,False,100.0,0,17.9,LOW,Data-quality validation requires review,False,LOW,6.0,0.3199,82.6568,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹158,176,083.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
323,Karnataka,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,167541747.11,Karnataka,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,167541747.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,167541747.11,True,18.9367,88.92988929889299,0.0,0,0.0,39.75301245883132,False,100.0,0,17.89,LOW,Data-quality validation requires review,False,LOW,6.0,0.883,88.9299,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹167,541,747.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
504,Himachal Pradesh,Suresh Kumar Kashyap,SHIMLA (SC),153563957.11,Himachal Pradesh,Suresh Kumar Kashyap,SHIMLA (SC),153563957.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,153563957.11,True,18.8496,79.88929889298892,0.0,0,0.0,39.59692725369741,False,100.0,0,17.82,LOW,Data-quality validation requires review,False,LOW,6.0,0.0302,79.8893,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹153,563,957.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
186,Andhra Pradesh,Gumma Thanuja Rani,ARAKU(ST),149458905.11,Andhra Pradesh,Gumma Thanuja Rani,ARAKU(ST),149458905.11,False,False,False,False,False,False,100.0,False,MP_RECORD,True,149458905.11,True,18.8225,76.38376383763837,0.0,0,0.0,39.57205566688688,False,75.0,0,17.81,LOW,No strong anomaly signal detected,False,LOW,2.592,-0.235,76.3838,150186650.9,False,MEDIUM,HIGH_DEVIATION,"Allocation of ₹149,458,905.11 was flagged because high statistical deviation (robust z-score 2.59). This is an anomaly candidate requiring verification and does not by itself indicate fraud."
512,Tamil Nadu,THANGA TAMILSELVAN,THENI,167755939.81,Tamil Nadu,THANGA TAMILSELVAN,THENI,167755939.81,False,False,False,False,False,True,85.0,True,MP_RECORD,True,167755939.81,True,18.938,89.11439114391145,0.0,0,0.0,39.38244889668483,False,100.0,0,17.72,LOW,Data-quality validation requires review,False,LOW,6.0,0.8955,89.1144,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹167,755,939.81 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
361,Maharashtra,RAJABHAU,NASHIK,152878682.11,Maharashtra,RAJABHAU,NASHIK,152878682.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,152878682.11,True,18.8452,79.15129151291514,0.0,0,0.0,39.27784532564343,False,100.0,0,17.68,LOW,Data-quality validation requires review,False,LOW,6.0,-0.0135,79.1513,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹152,878,682.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
526,Kerala,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,167807990.11,Kerala,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,167807990.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,167807990.11,True,18.9383,89.48339483394834,0.0,0,0.0,39.17463427392912,False,100.0,0,17.63,LOW,Data-quality validation requires review,False,LOW,6.0,0.8985,89.4834,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹167,807,990.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
254,Andhra Pradesh,Krishna Prasad Tenneti,BAPATLA,167796849.11,Andhra Pradesh,Krishna Prasad Tenneti,BAPATLA,167796849.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,167796849.11,True,18.9383,89.2988929889299,0.0,0,0.0,39.15127178983704,False,100.0,0,17.62,LOW,Data-quality validation requires review,False,LOW,6.0,0.8978,89.2989,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹167,796,849.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
196,Sikkim,Indra Hang Subba,SIKKIM,152003923.11,Sikkim,Indra Hang Subba,SIKKIM,152003923.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,152003923.11,True,18.8394,78.96678966789668,0.0,0,0.0,39.01149797222981,False,100.0,0,17.56,LOW,Data-quality validation requires review,False,LOW,5.2302,-0.0697,78.9668,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹152,003,923.11 was flagged because extreme statistical deviation (robust z-score 5.23); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
483,Maharashtra,Smt Raksha Nikhil Khadse,RAVER,153112586.11,Maharashtra,Smt Raksha Nikhil Khadse,RAVER,153112586.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,153112586.11,True,18.8467,79.70479704797047,0.0,0,0.0,38.86498273801484,False,100.0,0,17.49,LOW,Data-quality validation requires review,False,LOW,6.0,0.0014,79.7048,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹153,112,586.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
